"year","country","flu_searches"
2002,"Argentina",0
2002,"Australia",0
2002,"Austria",0
2002,"Belgium",0
2002,"Bolivia",0
2002,"Brazil",174
2002,"Bulgaria",0
2002,"Canada",0
2002,"Chile",0
2002,"France",0
2002,"Germany",0
2002,"Hungary",0
2002,"Japan",0
2002,"Mexico",0
2002,"Netherlands",0
2002,"New Zealand",0
2002,"Norway",0
2002,"Paraguay",0
2002,"Peru",329
2002,"Poland",0
2002,"Romania",0
2002,"Russia",0
2002,"South Africa",0
2002,"Spain",0
2002,"Sweden",0
2002,"Switzerland",0
2002,"Ukraine",0
2002,"United States",0
2002,"Uruguay",0
2003,"Argentina",0
2003,"Australia",0
2003,"Austria",0
2003,"Belgium",0
2003,"Bolivia",0
2003,"Brazil",12386
2003,"Bulgaria",0
2003,"Canada",0
2003,"Chile",0
2003,"France",0
2003,"Germany",0
2003,"Hungary",0
2003,"Japan",0
2003,"Mexico",0
2003,"Netherlands",0
2003,"New Zealand",0
2003,"Norway",0
2003,"Paraguay",0
2003,"Peru",20441
2003,"Poland",0
2003,"Romania",0
2003,"Russia",0
2003,"South Africa",0
2003,"Spain",0
2003,"Sweden",0
2003,"Switzerland",0
2003,"Ukraine",0
2003,"United States",0
2003,"Uruguay",0
2004,"Argentina",8843
2004,"Australia",0
2004,"Austria",32820
2004,"Belgium",2876
2004,"Bolivia",22110
2004,"Brazil",12964
2004,"Bulgaria",0
2004,"Canada",77828
2004,"Chile",348
2004,"France",1622
2004,"Germany",42880
2004,"Hungary",0
2004,"Japan",4001
2004,"Mexico",45978
2004,"Netherlands",1014
2004,"New Zealand",0
2004,"Norway",0
2004,"Paraguay",0
2004,"Peru",17143
2004,"Poland",0
2004,"Romania",37393
2004,"Russia",0
2004,"South Africa",0
2004,"Spain",1437
2004,"Sweden",0
2004,"Switzerland",1600
2004,"Ukraine",0
2004,"United States",58593
2004,"Uruguay",7555
2005,"Argentina",8627
2005,"Australia",0
2005,"Austria",41502
2005,"Belgium",6472
2005,"Bolivia",20260
2005,"Brazil",13246
2005,"Bulgaria",41988
2005,"Canada",98859
2005,"Chile",261
2005,"France",5658
2005,"Germany",49315
2005,"Hungary",4471
2005,"Japan",9480
2005,"Mexico",51011
2005,"Netherlands",1779
2005,"New Zealand",0
2005,"Norway",1904
2005,"Paraguay",0
2005,"Peru",16040
2005,"Poland",4886
2005,"Romania",40284
2005,"Russia",13596
2005,"South Africa",0
2005,"Spain",3278
2005,"Sweden",0
2005,"Switzerland",3849
2005,"Ukraine",0
2005,"United States",83959
2005,"Uruguay",6647
2006,"Argentina",8966
2006,"Australia",18263
2006,"Austria",36142
2006,"Belgium",4441
2006,"Bolivia",19668
2006,"Brazil",13964
2006,"Bulgaria",46688
2006,"Canada",97598
2006,"Chile",260
2006,"France",3075
2006,"Germany",41952
2006,"Hungary",3295
2006,"Japan",5924
2006,"Mexico",56569
2006,"Netherlands",1497
2006,"New Zealand",1492
2006,"Norway",1474
2006,"Paraguay",16478
2006,"Peru",14994
2006,"Poland",2521
2006,"Romania",40713
2006,"Russia",15693
2006,"South Africa",0
2006,"Spain",2061
2006,"Sweden",153
2006,"Switzerland",1781
2006,"Ukraine",17646
2006,"United States",77657
2006,"Uruguay",6776
2007,"Argentina",10267
2007,"Australia",29574
2007,"Austria",40517
2007,"Belgium",6305
2007,"Bolivia",19312
2007,"Brazil",13336
2007,"Bulgaria",42751
2007,"Canada",85821
2007,"Chile",558
2007,"France",4203
2007,"Germany",45226
2007,"Hungary",4343
2007,"Japan",7725
2007,"Mexico",70979
2007,"Netherlands",1607
2007,"New Zealand",1398
2007,"Norway",2231
2007,"Paraguay",16369
2007,"Peru",13770
2007,"Poland",2754
2007,"Romania",40248
2007,"Russia",16590
2007,"South Africa",135522
2007,"Spain",3246
2007,"Sweden",179
2007,"Switzerland",2999
