"country","year","infant_mortality","life_expectancy","fertility","population","gdp","continent","region","flu_searches","dengue_searches"
Argentina,2015,11.1,76.5,2.15,43416755,,Americas,South America,4841.0,2.118
Bolivia,2015,30.6,73.2,3.14,10724705,,Americas,South America,6407.0,0.427
Brazil,2015,14.6,74.4,1.78,207847528,,Americas,South America,6603.0,11.705
Mexico,2015,11.3,75.9,2.13,127017224,,Americas,Central America,43436.0,4.827
Argentina,2014,11.5,76.3,2.16,42980026,,Americas,South America,7073.0,2.767
Bolivia,2014,31.7,72.9,3.18,10561887,,Americas,South America,9065.0,0.91
Brazil,2014,14.4,74.3,1.79,206077898,,Americas,South America,8855.0,6.818
Mexico,2014,11.9,75.6,2.16,125385833,,Americas,Central America,69945.0,10.057
Argentina,2013,11.9,76.2,2.18,42538304,,Americas,South America,6529.0,4.263
Bolivia,2013,32.8,72.7,3.22,10399931,,Americas,South America,9129.0,0.564
Brazil,2013,14.3,74.1,1.8,204259377,,Americas,South America,8676.0,8.31
Mexico,2013,12.5,75.4,2.19,123740109,,Americas,Central America,63665.0,11.882
Argentina,2012,12.3,76.1,2.19,42095224,,Americas,South America,6155.0,2.082
Bolivia,2012,34.0,72.4,3.26,10238762,,Americas,South America,10035.0,1.513
Brazil,2012,14.3,74.0,1.81,202401584,,Americas,South America,7685.0,5.534
Mexico,2012,13.1,75.7,2.22,122070963,,Americas,Central America,59964.0,8.125
Argentina,2011,12.7,76.0,2.2,41655616,472935255184,Americas,South America,5541.0,3.186
Bolivia,2011,35.3,72.1,3.31,10078238,12863340654,Americas,South America,10859.0,2.173
Brazil,2011,14.4,73.8,1.82,200517584,944612348874,Americas,South America,8345.0,8.807
Mexico,2011,13.8,75.7,2.25,120365271,719742387372,Americas,Central America,49524.0,4.62
Argentina,2010,13.0,75.8,2.22,41222875,434405530244,Americas,South America,6946.0,6.6209999999999996
Bolivia,2010,36.8,71.8,3.36,9918245.0,12240412986,Americas,South America,11752.0,1.335
Brazil,2010,14.8,73.6,1.84,198614208,919487274118,Americas,South America,8970.0,12.524
Mexico,2010,14.4,75.4,2.28,118617542,692479257709,Americas,Central America,59504.0,7.848
Argentina,2009,13.4,75.6,2.23,40798641,397949689763,Americas,South America,7952.0,16.739
Bolivia,2009,38.4,71.6,3.41,9758799.0,11755304106,Americas,South America,14516.0,10.362
Brazil,2009,15.4,73.4,1.86,196701298,855069617297,Americas,South America,10984.0,8.211
Mexico,2009,15.0,75.3,2.31,116815612,656259080283,Americas,Central America,59050.0,14.228
Argentina,2008,13.7,75.4,2.24,40381860,394594682115,Americas,South America,9299.0,1.462
Bolivia,2008,40.2,71.2,3.48,9599916.0,11373495913,Americas,South America,16526.0,1.4929999999999999
Brazil,2008,16.2,73.2,1.9,194769696,857885609996,Americas,South America,12637.0,9.653
Mexico,2008,15.4,75.4,2.35,114972821,699939486221,Americas,Central America,60574.0,5.946
Argentina,2007,14.1,75.2,2.25,39969903,369614509411,Americas,South America,10267.0,5.569
Bolivia,2007,42.2,70.9,3.55,9441482.0,10714702655,Americas,South America,19312.0,2.609
Brazil,2007,17.1,73.0,1.94,192784521,815703390474,Americas,South America,13336.0,7.9430000000000005
Mexico,2007,15.8,75.6,2.38,113139374,691704027302,Americas,Central America,70979.0,7.668
Argentina,2006,14.6,75.3,2.27,39558750,340177780212,Americas,South America,8966.0,1.0070000000000001
Bolivia,2006,44.4,70.6,3.63,9283345.0,10246990606,Americas,South America,19668.0,1.068
Brazil,2006,18.2,72.7,2.0,190698241,768867489436,Americas,South America,13964.0,4.648
Mexico,2006,16.2,75.4,2.41,111382857,669864782183,Americas,Central America,56569.0,4.838
Argentina,2005,15.3,75.3,2.29,39145491,313626005874,Americas,South America,8627.0,1.035
Bolivia,2005,46.6,70.2,3.72,9125405.0,9777941879,Americas,South America,20260.0,1.485
Brazil,2005,19.5,72.4,2.07,188479240,739613124999,Americas,South America,13246.0,2.688
Mexico,2005,16.7,75.1,2.45,109747906,637055457596,Americas,Central America,51011.0,4.704
Argentina,2004,16.0,75.0,2.31,38728778,287258675094,Americas,South America,8843.0,1.533
Bolivia,2004,48.8,69.8,3.81,8967740.0,9363922319,Americas,South America,22110.0,1.465
Brazil,2004,21.0,72.0,2.14,186116363,716959543489,Americas,South America,12964.0,2.38
Mexico,2004,17.4,75.2,2.48,108257822,617269309006,Americas,Central America,45978.0,3.832
Argentina,2003,16.6,74.5,2.34,38309475,263468585945,Americas,South America,0.0,0.0
Bolivia,2003,51.2,69.3,3.9,8810420.0,8988793402,Americas,South America,0.0,3.945
Brazil,2003,22.5,71.7,2.2,183627339,678217761979,Americas,South America,12386.0,4.344
Mexico,2003,18.2,74.9,2.52,106888418,593223360014,Americas,Central America,0.0,0.0
Argentina,2002,17.1,74.3,2.38,37889443,242076212334,Americas,South America,0.0,0.0
Bolivia,2002,53.7,68.7,3.98,8653343.0,8751510220,Americas,South America,0.0,0.101
Brazil,2002,24.3,71.4,2.26,181045592,670512665737,Americas,South America,174.0,0.073
Mexico,2002,19.3,74.9,2.57,105578297,585312691416,Americas,Central America,0.0,0.0
